+---------------------------+------+----------+------------------+--------------------+--------------------+------------------------+------------------------+
| department                | year | KEN_code | total_basic_cost | total_extra_cost   | total_income       | insurance_provider     | total_hospitalizations |
+---------------------------+------+----------+------------------+--------------------+--------------------+------------------------+------------------------+
| Cardiology                | 2021 | ?01?     |            12420 |              37260 |              49680 | Beacon Health Options  |                      1 |
| Cardiology                | 2021 | ?07??    |             7279 |            909.875 |           8188.875 | Highmark Health        |                      1 |
| Cardiology                | 2021 | ?11?     |             3223 |                  0 |               3223 | Guardian Life          |                      1 |
| Cardiology                | 2021 | ?11?     |             3223 |                  0 |               3223 | Highmark Health        |                      1 |
| Cardiology                | 2021 | ?14??    |             1991 |                  0 |               1991 | Aetna                  |                      1 |
| Cardiology                | 2021 | ?14?     |             2554 |            10854.5 |            13408.5 | Anthem                 |                      2 |
| Cardiology                | 2022 | ?01?     |            12420 |                  0 |              12420 | Blue Cross Blue Shield |                      1 |
| Cardiology                | 2022 | ?01?     |            12420 |               8280 |              20700 | Guardian Life          |                      1 |
| Cardiology                | 2022 | ?01?     |            12420 |              12420 |              24840 | UnitedHealth Group     |                      1 |
| Cardiology                | 2022 | ?07??    |             7279 |                  0 |               7279 | Blue Cross Blue Shield |                      1 |
| Cardiology                | 2022 | ?07??    |             7279 |                  0 |               7279 | Priority Health        |                      1 |
| Cardiology                | 2022 | ?11?     |             3223 |                  0 |               3223 | Health Net             |                      1 |
| Cardiology                | 2022 | ?14?     |             1277 |             5746.5 |             7023.5 | Aetna                  |                      1 |
| Cardiology                | 2022 | ?14?     |             1277 |             1915.5 |             3192.5 | Health Net             |                      1 |
| Cardiology                | 2022 | ?14?     |             1277 |             1915.5 |             3192.5 | Humana                 |                      1 |
| Cardiology                | 2023 | ?01?     |            12420 |              20700 |              33120 | Beacon Health Options  |                      1 |
| Cardiology                | 2023 | ?01?     |            12420 |                  0 |              12420 | Centene Corporation    |                      1 |
| Cardiology                | 2023 | ?01?     |            12420 |              33120 |              45540 | Health Net             |                      1 |
| Cardiology                | 2023 | ?01?     |            12420 |                  0 |              12420 | Humana                 |                      1 |
| Cardiology                | 2023 | ?07??    |             7279 |                  0 |               7279 | Anthem                 |                      1 |
| Cardiology                | 2023 | ?07??    |             7279 |           4549.375 |          11828.375 | Blue Cross Blue Shield |                      1 |
| Cardiology                | 2023 | ?07??    |             7279 |            5459.25 |           12738.25 | Highmark Health        |                      1 |
| Cardiology                | 2023 | ?07??    |             7279 |            1819.75 |            9098.75 | UnitedHealth Group     |                      1 |
| Cardiology                | 2023 | ?11?     |             3223 |                  0 |               3223 | Oscar Health           |                      1 |
| Cardiology                | 2023 | ?11?     |             3223 |                  0 |               3223 | Priority Health        |                      1 |
| Cardiology                | 2023 | ?14??    |             1991 |            1493.25 |            3484.25 | Humana                 |                      1 |
| Cardiology                | 2023 | ?14?     |             1277 |             1915.5 |             3192.5 | Centene Corporation    |                      1 |
| Cardiology                | 2023 | ?14?     |             1277 |             3192.5 |             4469.5 | Priority Health        |                      1 |
| Cardiology                | 2024 | ?01?     |            12420 |              24840 |              37260 | Centene Corporation    |                      1 |
| Cardiology                | 2024 | ?01?     |            24840 |              49680 |              74520 | Kaiser Permanente      |                      2 |
| Cardiology                | 2024 | ?01?     |            12420 |              33120 |              45540 | MetLife                |                      1 |
| Cardiology                | 2024 | ?07??    |             7279 |                  0 |               7279 | Centene Corporation    |                      1 |
| Cardiology                | 2024 | ?14??    |             1991 |             4977.5 |             6968.5 | Health Net             |                      1 |
| Cardiology                | 2024 | ?14??    |             1991 |             497.75 |            2488.75 | Molina Healthcare      |                      1 |
| Cardiology                | 2024 | ?14?     |             1277 |               6385 |               7662 | Health Net             |                      1 |
| Cardiology                | 2024 | ?14?     |             1277 |               1277 |               2554 | Highmark Health        |                      1 |
| Cardiology                | 2025 | ?07??    |             7279 |           2729.625 |          10008.625 | Blue Cross Blue Shield |                      1 |
| Cardiology                | 2025 | ?07??    |             7279 |                  0 |               7279 | Molina Healthcare      |                      1 |
| Cardiology                | 2025 | ?07??    |             7279 |                  0 |               7279 | Mutual of Omaha        |                      1 |
| Cardiology                | 2025 | ?11?     |             3223 |                  0 |               3223 | Highmark Health        |                      1 |
| Cardiology                | 2025 | ?11?     |             6446 |                  0 |               6446 | Oscar Health           |                      2 |
| Cardiology                | 2025 | ?14??    |             1991 |                  0 |               1991 | Anthem                 |                      1 |
| Cardiology                | 2025 | ?14??    |             3982 |            4479.75 |            8461.75 | Beacon Health Options  |                      2 |
| Cardiology                | 2025 | ?14??    |             1991 |                  0 |               1991 | Blue Cross Blue Shield |                      1 |
| Cardiology                | 2025 | ?14?     |             1277 |               5108 |               6385 | Molina Healthcare      |                      1 |
| Cardiology                | 2026 | ?14?     |             1277 |             5746.5 |             7023.5 | Molina Healthcare      |                      1 |
| Endocrinology             | 2021 | ?02?     |             5135 |                  0 |               5135 | Centene Corporation    |                      1 |
| Endocrinology             | 2021 | ?02?     |             5135 |                  0 |               5135 | Mutual of Omaha        |                      1 |
| Endocrinology             | 2021 | ?20?     |             1580 |                  0 |               1580 | Anthem                 |                      1 |
| Endocrinology             | 2021 | ?20?     |              731 |  2680.333251953125 |  3411.333251953125 | Beacon Health Options  |                      1 |
| Endocrinology             | 2021 | ?20?     |             2311 |  3059.952392578125 |  5370.952392578125 | Guardian Life          |                      2 |
| Endocrinology             | 2021 | ?20?     |             1580 |                  0 |               1580 | Health Net             |                      1 |
| Endocrinology             | 2021 | ?20?     |              731 |  243.6666717529297 |  974.6666717529297 | MetLife                |                      1 |
| Endocrinology             | 2021 | ?20?     |             1580 |  451.4285583496094 | 2031.4285583496094 | Molina Healthcare      |                      1 |
| Endocrinology             | 2021 | ?20?     |              731 |  974.6666870117188 | 1705.6666870117188 | Oscar Health           |                      1 |
| Endocrinology             | 2021 | ?20?     |             1580 |                  0 |               1580 | WellCare               |                      1 |
| Endocrinology             | 2022 | ?02?     |             5135 |               1027 |               6162 | Health Net             |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |                  0 |               1580 | Aetna                  |                      1 |
| Endocrinology             | 2022 | ?20?     |              731 |  243.6666717529297 |  974.6666717529297 | Beacon Health Options  |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |                  0 |               1580 | Blue Cross Blue Shield |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |  225.7142791748047 | 1805.7142791748047 | Cigna                  |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |  225.7142791748047 | 1805.7142791748047 | Highmark Health        |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |                  0 |               1580 | Kaiser Permanente      |                      1 |
| Endocrinology             | 2022 | ?20?     |             1580 |  451.4285583496094 | 2031.4285583496094 | Mutual of Omaha        |                      1 |
| Endocrinology             | 2023 | ?02?     |             5135 |                  0 |               5135 | Beacon Health Options  |                      1 |
| Endocrinology             | 2023 | ?02?     |             5135 |                  0 |               5135 | Centene Corporation    |                      1 |
| Endocrinology             | 2023 | ?02?     |             5135 |                  0 |               5135 | Molina Healthcare      |                      1 |
| Endocrinology             | 2023 | ?20?     |             1580 |                  0 |               1580 | Ambetter               |                      1 |
| Endocrinology             | 2023 | ?20?     |             1580 | 1128.5714111328125 | 2708.5714111328125 | Beacon Health Options  |                      1 |
| Endocrinology             | 2023 | ?20?     |              731 |                731 |               1462 | Centene Corporation    |                      1 |
| Endocrinology             | 2023 | ?20?     |              731 |                  0 |                731 | Highmark Health        |                      1 |
| Endocrinology             | 2023 | ?20?     |             1580 | 1354.2857666015625 | 2934.2857666015625 | MetLife                |                      1 |
| Endocrinology             | 2023 | ?20?     |             1580 |                  0 |               1580 | Oscar Health           |                      1 |
| Endocrinology             | 2023 | ?20?     |              731 | 1218.3333740234375 | 1949.3333740234375 | UnitedHealth Group     |                      1 |
| Endocrinology             | 2023 | ?20?     |              731 | 1218.3333740234375 | 1949.3333740234375 | WellCare               |                      1 |
| Endocrinology             | 2024 | ?02?     |             5135 |              513.5 |             5648.5 | Aetna                  |                      1 |
| Endocrinology             | 2024 | ?02?     |             5135 |              513.5 |             5648.5 | Anthem                 |                      1 |
| Endocrinology             | 2024 | ?02?     |             5135 |                  0 |               5135 | Centene Corporation    |                      1 |
| Endocrinology             | 2024 | ?02?     |             5135 |             1540.5 |             6675.5 | Guardian Life          |                      1 |
| Endocrinology             | 2024 | ?20?     |              731 |               1462 |               2193 | Aetna                  |                      1 |
| Endocrinology             | 2024 | ?20?     |              731 |  2436.666748046875 |  3167.666748046875 | Centene Corporation    |                      1 |
| Endocrinology             | 2024 | ?20?     |              731 |               1462 |               2193 | Guardian Life          |                      1 |
| Endocrinology             | 2024 | ?20?     |             1580 |                  0 |               1580 | Molina Healthcare      |                      1 |
| Endocrinology             | 2025 | ?20?     |             1580 |                  0 |               1580 | Aetna                  |                      1 |
| Endocrinology             | 2025 | ?20?     |              731 |  487.3333435058594 | 1218.3333435058594 | Beacon Health Options  |                      1 |
| Endocrinology             | 2025 | ?20?     |             1580 |                  0 |               1580 | Cigna                  |                      1 |
| Endocrinology             | 2025 | ?20?     |              731 |                731 |               1462 | Guardian Life          |                      1 |
| Endocrinology             | 2025 | ?20?     |              731 |  974.6666870117188 | 1705.6666870117188 | Magellan Health        |                      1 |
| Endocrinology             | 2025 | ?20?     |             1580 | 1354.2857666015625 | 2934.2857666015625 | Molina Healthcare      |                      1 |
| Endocrinology             | 2025 | ?20?     |              731 |  487.3333435058594 | 1218.3333435058594 | Oscar Health           |                      1 |
| Endocrinology             | 2025 | ?20?     |              731 |  974.6666870117188 | 1705.6666870117188 | Priority Health        |                      1 |
| Endocrinology             | 2026 | ?02?     |             5135 |                  0 |               5135 | Highmark Health        |                      1 |
| Endocrinology             | 2026 | ?20?     |              731 |  2436.666748046875 |  3167.666748046875 | Guardian Life          |                      1 |
| Gastroenterology          | 2021 | ?01?     |             3857 |                  0 |               3857 | Anthem                 |                      1 |
| Gastroenterology          | 2021 | ?01?     |             3857 |  428.5555419921875 | 4285.5555419921875 | Molina Healthcare      |                      1 |
| Gastroenterology          | 2021 | ?01?     |             3857 |   857.111083984375 |  4714.111083984375 | Priority Health        |                      1 |
| Gastroenterology          | 2021 | ?01?     |             3857 |                  0 |               3857 | UnitedHealth Group     |                      1 |
| Gastroenterology          | 2021 | ?46?     |              327 |               1308 |               1635 | Beacon Health Options  |                      1 |
| Gastroenterology          | 2021 | ?46?     |              327 |             1144.5 |             1471.5 | Cigna                  |                      1 |
| Gastroenterology          | 2021 | ?46?     |              327 |                  0 |                327 | Health Net             |                      1 |
| Gastroenterology          | 2021 | ?46?     |              327 |               1635 |               1962 | Molina Healthcare      |                      1 |
| Gastroenterology          | 2021 | ?20?     |             2514 |                  0 |               2514 | Guardian Life          |                      1 |
| Gastroenterology          | 2021 | ?20?     |             2514 |                  0 |               2514 | UnitedHealth Group     |                      1 |
