substance_id	substance_name	num_of_patient_ts	num_of_drug
556	Dydrogesterone, Estradiol	3	8
72	Aluminium Phosphate, Hydrated, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Poliovirus (Inactivated) Type 1 (Mahoney Strain), Diphtheria Toxoid Adsorbed On Aluminium Phosphate, Hydrated, Tetanus Toxoid Adsorbed On Aluminium Phosphate, Hydrated	2	1
86	Amorolfine	2	2
213	Bisacodyl Bp	2	1
229	Bleomycin Sulfate Ph. Eur.	2	2
410	Cyanocobalamin, Levoglutamide, Dl-Phosphoserine	2	1
571	Epinephrine, Lidocaine Hydrochloride	2	4
618	Extract Of Iberis Amara (1 : 1.5 - 2.5), Extracting Agent: Ethanol 50 % (V/V), Liquid Extract Of Caraway Fruit (1 : 2.5 - 3.5), Extracting Agent: Ethanol 30 % (V/V), Liquid Extract Of Matricaria Flower (1 : 2 - 4), Extracting Agent: Ethanol 30 % (V/V), Liquid Extract Of Peppermint Leaf (1 : 2.5 - 3.5), Extracting Agent: Ethanol 30 % (V/V), Liquid Extract From Liquorice Root (1:2,5-3,5), Extraction Solvent: Ethanol 30% V/V, Liquid Extract From Melissa Leaf (1:2,5-3,5), Extraction Solvent: Ethanol 30% V/V	2	1
770	Hydroxyzine Hydrochloride	2	4
838	Latanoprost	2	5
878	Levothyroxine Sodium	2	13
999	Melissa Officinalis Dry Extract	2	1
1076	Montelukast	2	4
1100	Neomycin, Polymyxin B Sulfate, Dexamethasone	2	1
1101	Nicotine	2	1
1105	Nimodipine	2	2
1110	Nitrous Oxide	2	5
1401	Travoprost	2	1
1404	Triamcinolone Hexacetonide	2	2
11	Acetazolamide Ph. Eur.	1	1
17	Aciclovir Sodium	1	1
22	Acitretin	1	1
33	Aether Sulfuricus D1, Camphora Dil. D2, Cactus Dil. D2, Crataegus Dil. D2	1	1
45	Alfentanil	1	1
51	Alitretinoin	1	5
55	Alnus, Aluminium Hydroxide	1	1
80	Amlodipine Besilate, Candesartan Cilexetil	1	1
93	Amylmetacresol, Ascorbic Acid, Sodium Ascorbate, 2,4 Dichlorobenzyl Alcohol	1	1
94	Anhydrous Levothyroxine Sodium	1	2
96	Anthrax Antigen Filtrate, Algeldrate	1	1
111	Ascorbic Acid, Calcium Carbonate, Calcium Lactate Gluconate	1	1
120	Atorvastatin	1	5
121	Atorvastatin Calcium, Ezetimibe	1	1
129	Azelastine Hydrochloride	1	8
133	B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Austria/1359417/2021-Like Strain (B/Austria/1359417/2021, Bvr-26), Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated	1	1
136	Bacitracin, Neomycin Sulfate	1	1
141	Barium Sulfate	1	2
154	Benfotiamine, Pyridoxine Hydrochloride	1	2
161	Benzalkonium Chloride, Chlorhexidine Dihydrochloride, Isopropyl Myristate, Liquid Paraffin	1	1
181	Betamethasone Dipropionate	1	3
191	Betaxolol	1	2
193	Betiatide	1	1
204	Bicalutamide	1	12
219	Bisoprolol Fumarate, Acetylsalicylic Acid	1	1
222	Bisoprolol Fumarate, Ramipril	1	1
223	Bisoprolol Hemifumarate	1	5
227	Bleomycin	1	3
242	Brinzolamide, Timolol	1	3
257	Bumetanide	1	3
258	Bupivacaine Hydrochloride	1	19
260	Bupivacaine Hydrochloride Ph.Eur.	1	1
262	Bupivacaine Hydrochloride, Epinephrine	1	1
266	Buprenorphine, Naloxone Hydrochloride Dihydrate	1	1
278	Calcium Carbonate, Cholecalciferol Concentrate (Powder Form)	1	3
295	Calcium, Cholecalciferol Concentrate (Powder Form)	1	1
299	Calendula Officinalis Mother Tincture	1	2
301	Camphor, Racemic	1	1
306	Carbidopa, Entacapone, Levodopa	1	9
314	Cardiospermum Mother Tincture	1	1
316	Carglumic Acid	1	1
317	Carmustine	1	1
321	Cefditoren Pivoxil	1	1
322	Cefiderocol	1	1
330	Celecoxib	1	1
334	Cetirizine Dihydrochloride	1	8
342	Chenopodium Album (322)	1	1
344	Chlorhexidine Dihydrochloride, Benzocaine	1	1
351	Chlorhexidine Gluconate, Lidocaine Hydrochloride Monohydrate	1	1
360	Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol	1	1
363	Chlortalidone	1	3
364	Choline Salicylate	1	2
377	Clarithromycin	1	7
378	Clindamycin	1	3
387	Clopidogrel	1	3
398	Colecalciferol, Calcium	1	7
399	Colecalciferol, Calcium Carbonate	1	8
412	Cyclizine Hydrochloride	1	1
413	Cyproterone Acetate, Ethinylestradiol	1	3
414	Cytarabine	1	3
417	Dabigatran Etexilate	1	5
444	Demeclocycline Hydrochloride	1	1
450	Dermatophagoides Pteronyssinus, Dermatophagoides Farinae	1	8
455	Desmopressin Acetate	1	9
460	Desvenlafaxine	1	1
461	Desvenlafaxine Benzoate	1	1
466	Dexamethasone Phosphate	1	10
467	Dexamethasone Sodium Phosphate	1	22
478	Dextran	1	1
492	Diclofenac Sodium	1	53
495	Dicloxacillin	1	1
