dept_name	shift_id	subclass	                                                       required_staff
Pulmonology	421	Administrative staff with role: Human Resources Manager	                        1
Pulmonology	421	Administrative staff with role: Software Applications Administrator (Software)	1
Pulmonology	421	Doctor with specialty: Pulmonology						3
Pulmonology	421	Nurse with rank: Assistant_Nurse	                                        1
Pulmonology	421	Nurse with rank: Senior_Nurse	                                                4
Pulmonology	421	Nurse with rank: Supervisor_Nurse						1
Pulmonology	422	Administrative staff with role: Accountant					1
Pulmonology	422	Administrative staff with role: Secretary					1
Pulmonology	422	Doctor with specialty: Pulmonology						3
Pulmonology	422	Nurse with rank: Assistant_Nurse						2
Pulmonology	422	Nurse with rank: Senior_Nurse							2
Pulmonology	422	Nurse with rank: Supervisor_Nurse						2
Biopathology	423	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Biopathology	423	Administrative staff with role: Software Applications Administrator (Software)	1
Biopathology	423	Doctor with specialty: Biopathology	1
Biopathology	423	Doctor with specialty: Microbiology	1
Biopathology	423	Doctor with specialty: Radiology	1
Biopathology	423	Nurse with rank: Assistant_Nurse	2
Biopathology	423	Nurse with rank: Senior_Nurse	3
Biopathology	423	Nurse with rank: Supervisor_Nurse	1
Biopathology	424	Administrative staff with role: Procurement Officer				1
Biopathology	424	Administrative staff with role: Secretary	1
Biopathology	424	Doctor with specialty: Biopathology	1
Biopathology	424	Doctor with specialty: Microbiology	1
Biopathology	424	Doctor with specialty: Pathology	1
Biopathology	424	Nurse with rank: Assistant_Nurse	1
Biopathology	424	Nurse with rank: Senior_Nurse	4
Biopathology	424	Nurse with rank: Supervisor_Nurse	1
Biopathology	425	Administrative staff with role: Accountant	1
Biopathology	425	Administrative staff with role: Secretary	1
Biopathology	425	Doctor with specialty: Biopathology	1
Biopathology	425	Doctor with specialty: Neurosurgery	1
Biopathology	425	Doctor with specialty: Pathology	1
Biopathology	425	Nurse with rank: Senior_Nurse	3
Biopathology	425	Nurse with rank: Supervisor_Nurse	3
Endocrinology	426	Administrative staff with role: Accountant	1
Endocrinology	426	Administrative staff with role: Human Resources Manager	1
Endocrinology	426	Doctor with specialty: Endocrinology	2
Endocrinology	426	Doctor with specialty: Gastroenterology	1
Endocrinology	426	Nurse with rank: Assistant_Nurse	5
Endocrinology	426	Nurse with rank: Senior_Nurse	1
Endocrinology	427	Administrative staff with role: Accountant	1
Endocrinology	427	Administrative staff with role: Procurement Officer	1
Endocrinology	427	Doctor with specialty: Endocrinology	1
Endocrinology	427	Doctor with specialty: Gastroenterology	1
Endocrinology	427	Doctor with specialty: Internal Medicine	1
Endocrinology	427	Nurse with rank: Assistant_Nurse	3
Endocrinology	427	Nurse with rank: Senior_Nurse	1
Endocrinology	427	Nurse with rank: Supervisor_Nurse	2
Endocrinology	428	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Endocrinology	428	Administrative staff with role: Procurement Officer	1
Endocrinology	428	Doctor with specialty: Endocrinology	1
Endocrinology	428	Doctor with specialty: Gastroenterology	1
Endocrinology	428	Doctor with specialty: Internal Medicine	1
Endocrinology	428	Nurse with rank: Assistant_Nurse	2
Endocrinology	428	Nurse with rank: Senior_Nurse	1
Endocrinology	428	Nurse with rank: Supervisor_Nurse	3
Internal Medicine	429	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Internal Medicine	429	Administrative staff with role: Software Applications Administrator (Software)	1
Internal Medicine	429	Doctor with specialty: Gastroenterology	1
Internal Medicine	429	Doctor with specialty: Nephrology	1
Internal Medicine	429	Doctor with specialty: Rheumatology	1
Internal Medicine	429	Nurse with rank: Assistant_Nurse	2
Internal Medicine	429	Nurse with rank: Senior_Nurse	4
Internal Medicine	430	Administrative staff with role: Human Resources Manager	1
Internal Medicine	430	Administrative staff with role: Software Applications Administrator (Software)	1
Internal Medicine	430	Doctor with specialty: Gastroenterology	2
Internal Medicine	430	Doctor with specialty: Nephrology	1
Internal Medicine	430	Nurse with rank: Senior_Nurse	4
Internal Medicine	430	Nurse with rank: Supervisor_Nurse	2
Internal Medicine	431	Administrative staff with role: Accountant	1
Internal Medicine	431	Administrative staff with role: Software Applications Administrator (Software)	1
Internal Medicine	431	Doctor with specialty: Dermatology	1
Internal Medicine	431	Doctor with specialty: Nephrology	1
Internal Medicine	431	Doctor with specialty: Rheumatology	1
Internal Medicine	431	Nurse with rank: Assistant_Nurse	1
Internal Medicine	431	Nurse with rank: Senior_Nurse	2
Internal Medicine	431	Nurse with rank: Supervisor_Nurse	3
Pediatrics	432	Administrative staff with role: Network and Computer Administrator (Hardware)	2
Pediatrics	432	Doctor with specialty: Pediatrics	3
Pediatrics	432	Nurse with rank: Assistant_Nurse	1
Pediatrics	432	Nurse with rank: Senior_Nurse	3
Pediatrics	432	Nurse with rank: Supervisor_Nurse	2
Pediatrics	433	Administrative staff with role: Accountant	1
Pediatrics	433	Administrative staff with role: Software Applications Administrator (Software)	1
Pediatrics	433	Doctor with specialty: Cardiac Surgery	1
Pediatrics	433	Doctor with specialty: Pediatrics	2
Pediatrics	433	Nurse with rank: Assistant_Nurse	4
Pediatrics	433	Nurse with rank: Senior_Nurse	1
Pediatrics	433	Nurse with rank: Supervisor_Nurse	1
Pediatrics	434	Administrative staff with role: Procurement Officer	1
Pediatrics	434	Administrative staff with role: Software Applications Administrator (Software)	1
Pediatrics	434	Doctor with specialty: Cardiac Surgery	1
Pediatrics	434	Doctor with specialty: Pediatrics	2
Pediatrics	434	Nurse with rank: Assistant_Nurse	2
Pediatrics	434	Nurse with rank: Senior_Nurse	1
Pediatrics	434	Nurse with rank: Supervisor_Nurse	3
Gastroenterology	435	Administrative staff with role: Accountant	1
Gastroenterology	435	Administrative staff with role: Human Resources Manager	1
Gastroenterology	435	Doctor with specialty: Gastroenterology	2
Gastroenterology	435	Doctor with specialty: General Surgery	1
Gastroenterology	435	Nurse with rank: Assistant_Nurse	3
Gastroenterology	435	Nurse with rank: Senior_Nurse	3
Gastroenterology	436	Administrative staff with role: Accountant	1
Gastroenterology	436	Administrative staff with role: Secretary	1
Gastroenterology	436	Doctor with specialty: Gastroenterology	1
Gastroenterology	436	Doctor with specialty: General Surgery	1
Gastroenterology	436	Doctor with specialty: Internal Medicine	1
Gastroenterology	436	Nurse with rank: Assistant_Nurse	3
Gastroenterology	436	Nurse with rank: Senior_Nurse	1
Gastroenterology	436	Nurse with rank: Supervisor_Nurse	2
Gastroenterology	437	Administrative staff with role: Accountant	1
Gastroenterology	437	Administrative staff with role: Procurement Officer	1
Gastroenterology	437	Doctor with specialty: Gastroenterology	1
Gastroenterology	437	Doctor with specialty: General Surgery	1
Gastroenterology	437	Doctor with specialty: Radiology	1
Gastroenterology	437	Nurse with rank: Assistant_Nurse	2
Gastroenterology	437	Nurse with rank: Senior_Nurse	3
Gastroenterology	437	Nurse with rank: Supervisor_Nurse	1
Cardiology	438	Administrative staff with role: Procurement Officer	1
Cardiology	438	Administrative staff with role: Software Applications Administrator (Software)	1
Cardiology	438	Doctor with specialty: Cardiac Surgery	1
Cardiology	438	Doctor with specialty: Cardiology	1
Cardiology	438	Doctor with specialty: Vascular Surgery	1
Cardiology	438	Nurse with rank: Assistant_Nurse	3
Cardiology	438	Nurse with rank: Senior_Nurse	1
Cardiology	438	Nurse with rank: Supervisor_Nurse	2
Cardiology	439	Administrative staff with role: Secretary	2
Cardiology	439	Doctor with specialty: Cardiac Surgery	1
Cardiology	439	Doctor with specialty: Cardiology	1
Cardiology	439	Doctor with specialty: Vascular Surgery	1
Cardiology	439	Nurse with rank: Assistant_Nurse	2
Cardiology	439	Nurse with rank: Senior_Nurse	1
Cardiology	439	Nurse with rank: Supervisor_Nurse	3
Cardiology	440	Administrative staff with role: Secretary	2
Cardiology	440	Doctor with specialty: Cardiac Surgery	1
Cardiology	440	Doctor with specialty: Cardiology	2
Cardiology	440	Nurse with rank: Assistant_Nurse	1
Cardiology	440	Nurse with rank: Senior_Nurse	2
Cardiology	440	Nurse with rank: Supervisor_Nurse	3
Surgical Department	441	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Surgical Department	441	Administrative staff with role: Procurement Officer	1
Surgical Department	441	Doctor with specialty: Cardiac Surgery	2
Surgical Department	441	Doctor with specialty: Urology	1
Surgical Department	441	Nurse with rank: Assistant_Nurse	2
Surgical Department	441	Nurse with rank: Senior_Nurse	2
Surgical Department	441	Nurse with rank: Supervisor_Nurse	2
Surgical Department	442	Administrative staff with role: Procurement Officer	1
Surgical Department	442	Administrative staff with role: Secretary	1
Surgical Department	442	Doctor with specialty: Ophthalmology	1
Surgical Department	442	Doctor with specialty: Otorhinolaryngology - ENT	1
Surgical Department	442	Doctor with specialty: Urology	1
Surgical Department	442	Nurse with rank: Assistant_Nurse	2
Surgical Department	442	Nurse with rank: Senior_Nurse	2
Surgical Department	442	Nurse with rank: Supervisor_Nurse	2
Surgical Department	443	Administrative staff with role: Secretary	1
Surgical Department	443	Administrative staff with role: Software Applications Administrator (Software)	1
Surgical Department	443	Doctor with specialty: Plastic Surgery	1
Surgical Department	443	Doctor with specialty: Urology	1
Surgical Department	443	Doctor with specialty: Vascular Surgery	1
Surgical Department	443	Nurse with rank: Assistant_Nurse	3
Surgical Department	443	Nurse with rank: Supervisor_Nurse	3
Neurology	444	Administrative staff with role: Human Resources Manager	1
Neurology	444	Administrative staff with role: Software Applications Administrator (Software)	1
Neurology	444	Doctor with specialty: Neurology	2
Neurology	444	Doctor with specialty: Physical Medicine & Rehabilitation	1
Neurology	444	Nurse with rank: Assistant_Nurse	2
Neurology	444	Nurse with rank: Senior_Nurse	2
Neurology	444	Nurse with rank: Supervisor_Nurse	2
Neurology	445	Administrative staff with role: Human Resources Manager	1
Neurology	445	Administrative staff with role: Software Applications Administrator (Software)	1
Neurology	445	Doctor with specialty: Gastroenterology	1
Neurology	445	Doctor with specialty: Neurology	1
Neurology	445	Doctor with specialty: Neurosurgery	1
Neurology	445	Nurse with rank: Assistant_Nurse	2
Neurology	445	Nurse with rank: Senior_Nurse	2
Neurology	445	Nurse with rank: Supervisor_Nurse	2
Neurology	446	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Neurology	446	Administrative staff with role: Secretary	1
Neurology	446	Doctor with specialty: Gastroenterology	1
Neurology	446	Doctor with specialty: Neurology	1
Neurology	446	Doctor with specialty: Neurosurgery	1
Neurology	446	Nurse with rank: Assistant_Nurse	2
Neurology	446	Nurse with rank: Senior_Nurse	3
Neurology	446	Nurse with rank: Supervisor_Nurse	1
Emergency Department	447	Administrative staff with role: Human Resources Manager	1
Emergency Department	447	Administrative staff with role: Software Applications Administrator (Software)	1
Emergency Department	447	Doctor with specialty: General Surgery	1
Emergency Department	447	Doctor with specialty: Obstetrics & Gynecology - OB/GYN	1
Emergency Department	447	Doctor with specialty: Orthopedics	1
Emergency Department	447	Nurse with rank: Assistant_Nurse	2
Emergency Department	447	Nurse with rank: Senior_Nurse	4
Emergency Department	448	Administrative staff with role: Network and Computer Administrator (Hardware)	1
Emergency Department	448	Administrative staff with role: Procurement Officer	1
Emergency Department	448	Doctor with specialty: Cardiology	1
Emergency Department	448	Doctor with specialty: Orthopedics	2
Emergency Department	448	Nurse with rank: Senior_Nurse	3
Emergency Department	448	Nurse with rank: Supervisor_Nurse	3
Emergency Department	449	Administrative staff with role: Procurement Officer	1
Emergency Department	449	Administrative staff with role: Secretary	1
Emergency Department	449	Doctor with specialty: Orthopedics	3
Emergency Department	449	Nurse with rank: Senior_Nurse	4
