+--------------------+-----------+---------+-----------------------+
| ID Αρχικού Γιατρού | ID Επόπτη | Επίπεδο | Βαθμίδα Επόπτη        |
+--------------------+-----------+---------+-----------------------+
|                  2 |        58 |       1 | Senior_Consultant_Doc |
|                  2 |        35 |       2 | Clinical_Director_Doc |
|                  3 |        73 |       1 | Senior_Consultant_Doc |
|                  3 |        33 |       2 | Senior_Consultant_Doc |
|                  3 |        14 |       3 | Senior_Consultant_Doc |
|                  3 |        63 |       4 | Senior_Consultant_Doc |
|                  3 |        30 |       5 | Senior_Consultant_Doc |
|                  3 |         1 |       6 | Clinical_Director_Doc |
|                  4 |        61 |       1 | Senior_Consultant_Doc |
|                  4 |        67 |       2 | Senior_Consultant_Doc |
|                  4 |        79 |       3 | Senior_Consultant_Doc |
|                  4 |        19 |       4 | Senior_Consultant_Doc |
|                  4 |        14 |       5 | Senior_Consultant_Doc |
|                  4 |        63 |       6 | Senior_Consultant_Doc |
|                  4 |        30 |       7 | Senior_Consultant_Doc |
|                  4 |         1 |       8 | Clinical_Director_Doc |
|                  5 |        47 |       1 | Clinical_Director_Doc |
|                  6 |        19 |       1 | Senior_Consultant_Doc |
|                  6 |        14 |       2 | Senior_Consultant_Doc |
|                  6 |        63 |       3 | Senior_Consultant_Doc |
|                  6 |        30 |       4 | Senior_Consultant_Doc |
|                  6 |         1 |       5 | Clinical_Director_Doc |
|                  8 |        42 |       1 | Clinical_Director_Doc |
|                  9 |        45 |       1 | Senior_Consultant_Doc |
|                  9 |        11 |       2 | Senior_Consultant_Doc |
|                  9 |        42 |       3 | Clinical_Director_Doc |
|                 10 |        11 |       1 | Senior_Consultant_Doc |
|                 10 |        42 |       2 | Clinical_Director_Doc |
|                 11 |        42 |       1 | Clinical_Director_Doc |
|                 12 |        33 |       1 | Senior_Consultant_Doc |
|                 12 |        14 |       2 | Senior_Consultant_Doc |
|                 12 |        63 |       3 | Senior_Consultant_Doc |
|                 12 |        30 |       4 | Senior_Consultant_Doc |
|                 12 |         1 |       5 | Clinical_Director_Doc |
|                 13 |        36 |       1 | Senior_Consultant_Doc |
|                 13 |        50 |       2 | Senior_Consultant_Doc |
|                 13 |        73 |       3 | Senior_Consultant_Doc |
|                 13 |        33 |       4 | Senior_Consultant_Doc |
|                 13 |        14 |       5 | Senior_Consultant_Doc |
|                 13 |        63 |       6 | Senior_Consultant_Doc |
|                 13 |        30 |       7 | Senior_Consultant_Doc |
|                 13 |         1 |       8 | Clinical_Director_Doc |
|                 14 |        63 |       1 | Senior_Consultant_Doc |
|                 14 |        30 |       2 | Senior_Consultant_Doc |
|                 14 |         1 |       3 | Clinical_Director_Doc |
|                 16 |        14 |       1 | Senior_Consultant_Doc |
|                 16 |        63 |       2 | Senior_Consultant_Doc |
|                 16 |        30 |       3 | Senior_Consultant_Doc |
|                 16 |         1 |       4 | Clinical_Director_Doc |
|                 17 |        61 |       1 | Senior_Consultant_Doc |
|                 17 |        67 |       2 | Senior_Consultant_Doc |
|                 17 |        79 |       3 | Senior_Consultant_Doc |
|                 17 |        19 |       4 | Senior_Consultant_Doc |
|                 17 |        14 |       5 | Senior_Consultant_Doc |
|                 17 |        63 |       6 | Senior_Consultant_Doc |
|                 17 |        30 |       7 | Senior_Consultant_Doc |
|                 17 |         1 |       8 | Clinical_Director_Doc |
|                 18 |        42 |       1 | Clinical_Director_Doc |
|                 19 |        14 |       1 | Senior_Consultant_Doc |
|                 19 |        63 |       2 | Senior_Consultant_Doc |
|                 19 |        30 |       3 | Senior_Consultant_Doc |
|                 19 |         1 |       4 | Clinical_Director_Doc |
|                 20 |        68 |       1 | Clinical_Director_Doc |
|                 22 |        67 |       1 | Senior_Consultant_Doc |
|                 22 |        79 |       2 | Senior_Consultant_Doc |
|                 22 |        19 |       3 | Senior_Consultant_Doc |
|                 22 |        14 |       4 | Senior_Consultant_Doc |
|                 22 |        63 |       5 | Senior_Consultant_Doc |
|                 22 |        30 |       6 | Senior_Consultant_Doc |
|                 22 |         1 |       7 | Clinical_Director_Doc |
|                 23 |        71 |       1 | Junior_Consultant_Doc |
|                 23 |         9 |       2 | Junior_Consultant_Doc |
|                 23 |        45 |       3 | Senior_Consultant_Doc |
|                 23 |        11 |       4 | Senior_Consultant_Doc |
|                 23 |        42 |       5 | Clinical_Director_Doc |
|                 25 |        53 |       1 | Clinical_Director_Doc |
|                 26 |        54 |       1 | Senior_Consultant_Doc |
|                 26 |         1 |       2 | Clinical_Director_Doc |
|                 27 |         3 |       1 | Senior_Consultant_Doc |
|                 27 |        73 |       2 | Senior_Consultant_Doc |
|                 27 |        33 |       3 | Senior_Consultant_Doc |
|                 27 |        14 |       4 | Senior_Consultant_Doc |
|                 27 |        63 |       5 | Senior_Consultant_Doc |
|                 27 |        30 |       6 | Senior_Consultant_Doc |
|                 27 |         1 |       7 | Clinical_Director_Doc |
|                 28 |         7 |       1 | Clinical_Director_Doc |
|                 30 |         1 |       1 | Clinical_Director_Doc |
|                 31 |        34 |       1 | Senior_Consultant_Doc |
|                 31 |        80 |       2 | Clinical_Director_Doc |
|                 32 |        11 |       1 | Senior_Consultant_Doc |
|                 32 |        42 |       2 | Clinical_Director_Doc |
|                 33 |        14 |       1 | Senior_Consultant_Doc |
|                 33 |        63 |       2 | Senior_Consultant_Doc |
|                 33 |        30 |       3 | Senior_Consultant_Doc |
|                 33 |         1 |       4 | Clinical_Director_Doc |
|                 34 |        80 |       1 | Clinical_Director_Doc |
|                 36 |        50 |       1 | Senior_Consultant_Doc |
|                 36 |        73 |       2 | Senior_Consultant_Doc |
|                 36 |        33 |       3 | Senior_Consultant_Doc |
|                 36 |        14 |       4 | Senior_Consultant_Doc |
|                 36 |        63 |       5 | Senior_Consultant_Doc |
|                 36 |        30 |       6 | Senior_Consultant_Doc |
|                 36 |         1 |       7 | Clinical_Director_Doc |
|                 37 |        69 |       1 | Junior_Consultant_Doc |
|                 37 |        71 |       2 | Junior_Consultant_Doc |
|                 37 |         9 |       3 | Junior_Consultant_Doc |
|                 37 |        45 |       4 | Senior_Consultant_Doc |
|                 37 |        11 |       5 | Senior_Consultant_Doc |
|                 37 |        42 |       6 | Clinical_Director_Doc |
|                 38 |        34 |       1 | Senior_Consultant_Doc |
|                 38 |        80 |       2 | Clinical_Director_Doc |
|                 39 |        68 |       1 | Clinical_Director_Doc |
|                 41 |         1 |       1 | Clinical_Director_Doc |
|                 43 |        64 |       1 | Senior_Consultant_Doc |
|                 43 |        67 |       2 | Senior_Consultant_Doc |
|                 43 |        79 |       3 | Senior_Consultant_Doc |
|                 43 |        19 |       4 | Senior_Consultant_Doc |
|                 43 |        14 |       5 | Senior_Consultant_Doc |
|                 43 |        63 |       6 | Senior_Consultant_Doc |
|                 43 |        30 |       7 | Senior_Consultant_Doc |
|                 43 |         1 |       8 | Clinical_Director_Doc |
|                 44 |         5 |       1 | Senior_Consultant_Doc |
|                 44 |        47 |       2 | Clinical_Director_Doc |
|                 45 |        11 |       1 | Senior_Consultant_Doc |
|                 45 |        42 |       2 | Clinical_Director_Doc |
|                 46 |        74 |       1 | Junior_Consultant_Doc |
|                 46 |         5 |       2 | Senior_Consultant_Doc |
|                 46 |        47 |       3 | Clinical_Director_Doc |
|                 49 |        80 |       1 | Clinical_Director_Doc |
|                 50 |        73 |       1 | Senior_Consultant_Doc |
|                 50 |        33 |       2 | Senior_Consultant_Doc |
|                 50 |        14 |       3 | Senior_Consultant_Doc |
|                 50 |        63 |       4 | Senior_Consultant_Doc |
|                 50 |        30 |       5 | Senior_Consultant_Doc |
|                 50 |         1 |       6 | Clinical_Director_Doc |
|                 51 |        40 |       1 | Clinical_Director_Doc |
|                 52 |        12 |       1 | Senior_Consultant_Doc |
|                 52 |        33 |       2 | Senior_Consultant_Doc |
|                 52 |        14 |       3 | Senior_Consultant_Doc |
|                 52 |        63 |       4 | Senior_Consultant_Doc |
|                 52 |        30 |       5 | Senior_Consultant_Doc |
|                 52 |         1 |       6 | Clinical_Director_Doc |
|                 54 |         1 |       1 | Clinical_Director_Doc |
|                 55 |        47 |       1 | Clinical_Director_Doc |
|                 56 |        18 |       1 | Junior_Consultant_Doc |
|                 56 |        42 |       2 | Clinical_Director_Doc |
|                 57 |        42 |       1 | Clinical_Director_Doc |
|                 58 |        35 |       1 | Clinical_Director_Doc |
|                 60 |        59 |       1 | Clinical_Director_Doc |
|                 61 |        67 |       1 | Senior_Consultant_Doc |
|                 61 |        79 |       2 | Senior_Consultant_Doc |
|                 61 |        19 |       3 | Senior_Consultant_Doc |
|                 61 |        14 |       4 | Senior_Consultant_Doc |
|                 61 |        63 |       5 | Senior_Consultant_Doc |
|                 61 |        30 |       6 | Senior_Consultant_Doc |
|                 61 |         1 |       7 | Clinical_Director_Doc |
|                 62 |        63 |       1 | Senior_Consultant_Doc |
|                 62 |        30 |       2 | Senior_Consultant_Doc |
|                 62 |         1 |       3 | Clinical_Director_Doc |
|                 63 |        30 |       1 | Senior_Consultant_Doc |
|                 63 |         1 |       2 | Clinical_Director_Doc |
|                 64 |        67 |       1 | Senior_Consultant_Doc |
|                 64 |        79 |       2 | Senior_Consultant_Doc |
|                 64 |        19 |       3 | Senior_Consultant_Doc |
|                 64 |        14 |       4 | Senior_Consultant_Doc |
|                 64 |        63 |       5 | Senior_Consultant_Doc |
|                 64 |        30 |       6 | Senior_Consultant_Doc |
|                 64 |         1 |       7 | Clinical_Director_Doc |
|                 65 |        59 |       1 | Clinical_Director_Doc |
|                 66 |        64 |       1 | Senior_Consultant_Doc |
|                 66 |        67 |       2 | Senior_Consultant_Doc |
|                 66 |        79 |       3 | Senior_Consultant_Doc |
|                 66 |        19 |       4 | Senior_Consultant_Doc |
|                 66 |        14 |       5 | Senior_Consultant_Doc |
|                 66 |        63 |       6 | Senior_Consultant_Doc |
|                 66 |        30 |       7 | Senior_Consultant_Doc |
|                 66 |         1 |       8 | Clinical_Director_Doc |
|                 67 |        79 |       1 | Senior_Consultant_Doc |
|                 67 |        19 |       2 | Senior_Consultant_Doc |
|                 67 |        14 |       3 | Senior_Consultant_Doc |
|                 67 |        63 |       4 | Senior_Consultant_Doc |
|                 67 |        30 |       5 | Senior_Consultant_Doc |
|                 67 |         1 |       6 | Clinical_Director_Doc |
|                 69 |        71 |       1 | Junior_Consultant_Doc |
|                 69 |         9 |       2 | Junior_Consultant_Doc |
|                 69 |        45 |       3 | Senior_Consultant_Doc |
|                 69 |        11 |       4 | Senior_Consultant_Doc |
|                 69 |        42 |       5 | Clinical_Director_Doc |
|                 70 |        58 |       1 | Senior_Consultant_Doc |
|                 70 |        35 |       2 | Clinical_Director_Doc |
|                 71 |         9 |       1 | Junior_Consultant_Doc |
|                 71 |        45 |       2 | Senior_Consultant_Doc |
|                 71 |        11 |       3 | Senior_Consultant_Doc |
|                 71 |        42 |       4 | Clinical_Director_Doc |
|                 72 |        58 |       1 | Senior_Consultant_Doc |
|                 72 |        35 |       2 | Clinical_Director_Doc |
|                 73 |        33 |       1 | Senior_Consultant_Doc |
|                 73 |        14 |       2 | Senior_Consultant_Doc |
|                 73 |        63 |       3 | Senior_Consultant_Doc |
|                 73 |        30 |       4 | Senior_Consultant_Doc |
|                 73 |         1 |       5 | Clinical_Director_Doc |
|                 74 |         5 |       1 | Senior_Consultant_Doc |
|                 74 |        47 |       2 | Clinical_Director_Doc |
|                 75 |        68 |       1 | Clinical_Director_Doc |
|                 76 |        24 |       1 | Clinical_Director_Doc |
|                 77 |        62 |       1 | Senior_Consultant_Doc |
|                 77 |        63 |       2 | Senior_Consultant_Doc |
|                 77 |        30 |       3 | Senior_Consultant_Doc |
|                 77 |         1 |       4 | Clinical_Director_Doc |
|                 78 |        19 |       1 | Senior_Consultant_Doc |
|                 78 |        14 |       2 | Senior_Consultant_Doc |
|                 78 |        63 |       3 | Senior_Consultant_Doc |
|                 78 |        30 |       4 | Senior_Consultant_Doc |
|                 78 |         1 |       5 | Clinical_Director_Doc |
|                 79 |        19 |       1 | Senior_Consultant_Doc |
|                 79 |        14 |       2 | Senior_Consultant_Doc |
|                 79 |        63 |       3 | Senior_Consultant_Doc |
|                 79 |        30 |       4 | Senior_Consultant_Doc |
|                 79 |         1 |       5 | Clinical_Director_Doc |
+--------------------+-----------+---------+-----------------------+
219 rows in set (0.037 sec)
